canonical_SMILES,raw_SMILES,potency,source
N#C/C(C(=O)Nc1ncns1)=C(/O)c1cc(O)c(O)c([N+](=O)[O-])c1,N#C/C(C(=O)Nc1ncns1)=C(/O)c1cc(O)c(O)c([N+](=O)[O-])c1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)N1CCC1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)N1CCC1,1,active
N#C/C(C(=O)NC1CC1)=C(/N)c1cc(O)c(O)c([N+](=O)[O-])c1,N#C/C(C(=O)NC1CC1)=C(/N)c1cc(O)c(O)c([N+](=O)[O-])c1,1,active
N#C/C(C(=O)c1cscn1)=C(/N)c1cc(O)c(O)c([N+](=O)[O-])c1,N#C/C(C(=O)c1cscn1)=C(/N)c1cc(O)c(O)c([N+](=O)[O-])c1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1ncns1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1ncns1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)N1CCOCC1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)N1CCOCC1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)NO,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)NO,1,active
N#C/C(C(=O)N1CCC1)=C(/N)c1cc(O)c(O)c([N+](=O)[O-])c1,N#C/C(C(=O)N1CCC1)=C(/N)c1cc(O)c(O)c([N+](=O)[O-])c1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)Nc1cccc(Cl)c1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)Nc1cccc(Cl)c1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)c1nc2ccccc2[nH]1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)c1nc2ccccc2[nH]1,1,active
N#C/C(=C(/O)c1cc(O)c(O)c([N+](=O)[O-])c1)c1nc2ccccc2s1,N#C/C(=C(/O)c1cc(O)c(O)c([N+](=O)[O-])c1)c1nc2ccccc2s1,1,active
